Date,Open,High,Low,Close,Adj Close,Volume
2018-03-19,78.650002,79.080002,77.790001,78.660004,78.660004,0
2018-03-20,78.360001,78.570000,77.589996,78.129997,78.129997,0
2018-03-21,78.800003,81.000000,78.800003,80.589996,80.589996,0
2018-03-22,80.099998,80.620003,79.279999,79.389999,79.389999,0
2018-03-23,80.440002,82.300003,80.440002,81.500000,81.500000,0
2018-03-26,81.989998,82.769997,81.739998,82.500000,82.500000,0
2018-03-27,81.610001,81.940002,80.730003,81.250000,81.250000,0
2018-03-28,80.620003,80.750000,79.320000,79.639999,79.639999,0
2018-03-29,79.750000,81.209999,79.699997,81.120003,81.120003,0
2018-04-02,81.790001,82.690002,81.580002,82.010002,82.010002,0
2018-04-03,81.570000,81.790001,80.629997,81.220001,81.220001,0
2018-04-04,81.610001,81.760002,80.629997,80.839996,80.839996,0
2018-04-05,80.180000,81.529999,80.160004,81.470001,81.470001,0
2018-04-06,81.879997,82.110001,81.330002,81.540001,81.540001,0
2018-04-09,81.480003,81.690002,80.309998,81.050003,81.050003,0
2018-04-10,81.790001,82.400002,81.480003,81.940002,81.940002,0
2018-04-11,82.550003,84.489998,82.540001,83.690002,83.690002,0
2018-04-12,82.980003,83.169998,82.290001,82.760002,82.760002,0
2018-04-13,83.360001,84.690002,83.330002,84.080002,84.080002,0
2018-04-16,84.370003,84.379997,83.430000,83.980003,83.980003,0
2018-04-17,83.650002,84.510002,83.480003,84.209999,84.209999,0
2018-04-18,85.080002,86.089996,84.970001,85.209999,85.209999,0
2018-04-19,85.550003,86.099998,84.809998,85.669998,85.669998,0
2018-04-20,85.160004,85.220001,84.230003,85.120003,85.120003,0
2018-04-23,83.989998,83.989998,83.040001,83.250000,83.250000,0
2018-04-24,83.410004,84.089996,82.769997,83.279999,83.279999,0
2018-04-25,82.269997,83.239998,81.980003,82.470001,82.470001,0
2018-04-26,82.389999,83.000000,82.050003,82.519997,82.519997,0
2018-04-27,82.400002,82.980003,82.360001,82.930000,82.930000,0
2018-04-30,81.889999,82.110001,81.110001,81.150002,81.150002,0
2018-05-01,80.620003,81.430000,80.190002,81.419998,81.419998,0
2018-05-02,81.820000,83.220001,81.519997,81.919998,81.919998,0
2018-05-03,83.000000,83.320000,82.139999,82.379997,82.379997,0
2018-05-04,81.919998,82.570000,81.849998,82.400002,82.400002,0
2018-05-07,82.260002,82.879997,81.980003,81.989998,81.989998,0
2018-05-08,81.779999,82.669998,81.080002,82.669998,82.669998,0
2018-05-09,82.610001,82.800003,82.099998,82.379997,82.379997,0
2018-05-10,82.900002,84.110001,82.900002,83.809998,83.809998,0
2018-05-11,84.040001,84.540001,83.629997,83.860001,83.860001,0
2018-05-14,84.029999,84.180000,83.050003,83.470001,83.470001,0
2018-05-15,82.239998,82.269997,81.089996,81.769997,81.769997,0
2018-05-16,81.910004,82.330002,81.639999,81.930000,81.930000,0
2018-05-17,82.000000,82.019997,81.489998,81.839996,81.839996,0
2018-05-18,81.410004,82.320000,81.389999,82.059998,82.059998,0
2018-05-21,81.830002,82.180000,81.320000,82.080002,82.080002,0
2018-05-22,82.489998,82.900002,82.089996,82.160004,82.160004,0
2018-05-23,81.720001,83.290001,81.709999,83.150002,83.150002,0
2018-05-24,83.320000,84.489998,83.120003,84.379997,84.379997,0
2018-05-25,83.980003,84.199997,83.199997,83.480003,83.480003,0
2018-05-29,82.430000,84.000000,82.349998,83.050003,83.050003,0
2018-05-30,83.349998,84.199997,83.300003,83.849998,83.849998,0
2018-05-31,83.949997,84.110001,83.250000,83.320000,83.320000,0
2018-06-01,83.199997,83.699997,82.500000,83.040001,83.040001,0
2018-06-04,83.459999,83.580002,82.150002,82.180000,82.180000,0
2018-06-05,82.190002,83.529999,82.190002,83.050003,83.050003,0
2018-06-06,83.449997,83.760002,82.720001,83.379997,83.379997,0
2018-06-07,83.459999,83.510002,82.639999,82.989998,82.989998,0
2018-06-08,82.889999,83.110001,82.610001,82.930000,82.930000,0
2018-06-11,82.730003,83.699997,82.459999,83.629997,83.629997,0
2018-06-12,83.160004,83.910004,83.110001,83.820000,83.820000,0
2018-06-13,83.790001,84.260002,82.980003,83.790001,83.790001,0
2018-06-14,84.339996,84.720001,84.139999,84.669998,84.669998,0
2018-06-15,83.769997,83.779999,82.250000,82.580002,82.580002,0
2018-06-18,82.250000,82.610001,82.059998,82.379997,82.379997,0
2018-06-19,81.500000,82.199997,81.330002,81.669998,81.669998,0
2018-06-20,81.750000,81.980003,81.059998,81.250000,81.250000,0
2018-06-21,81.019997,81.419998,80.750000,80.889999,80.889999,0
2018-06-22,81.300003,82.089996,81.279999,82.000000,82.000000,0
2018-06-25,81.540001,81.889999,80.459999,80.519997,80.519997,0
2018-06-26,80.150002,80.709999,79.680000,80.480003,80.480003,0
2018-06-27,80.209999,81.010002,79.930000,79.930000,79.930000,0
2018-06-28,79.870003,80.150002,79.309998,79.830002,79.830002,0
2018-06-29,80.300003,82.029999,80.279999,81.589996,81.589996,0
2018-07-02,80.839996,81.610001,80.620003,81.110001,81.110001,0
2018-07-03,82.000000,83.570000,82.000000,82.870003,82.870003,0
