,Date,Open,High,Low,Close,Volume,MA_short,MA_long,EMA_short,EMA_long,EMA_short_MACD,EMA_long_MACD,MACD,MACD_signal,MACD_hist,BIAS_short,BIAS_long,VR,OBV,Open_interpreted,High_interpreted,Low_interpreted,MA_short_interpreted,MA_long_interpreted,EMA_short_interpreted,EMA_long_interpreted,MACD_interpreted,BIAS_short_interpreted,BIAS_long_interpreted,VR_interpreted,OBV_interpreted
757,2020-01-08,74.290001,76.110001,74.290001,75.797501,132079200,67.70484990000001,55.480124979999935,67.85693241587154,57.82788190825553,73.311087376159,70.96130672792181,2.3497806482371715,2.107065685723501,0.2427149625136704,11.952838108278534,36.62099901059036,1.8427065525362536,4409696000,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0
758,2020-01-09,76.809998,77.60749799999998,76.550003,77.407501,170108400,68.00774990000001,55.633674994999936,68.2314645172099,58.0227039887704,73.94130485674992,71.43880259992761,2.5025022568223108,2.186152999943263,0.3163492568790476,13.821588148147196,39.13785312035738,2.0385648690015308,4579804400,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0
759,2020-01-10,77.650002,78.167503,77.0625,77.582497,140644800,68.34294988,55.78599997999992,68.59817167339774,58.217328794852286,74.5014882634038,71.89389107400704,2.6075971893967416,2.270441837833959,0.33715535156278303,13.519385885776455,39.07162554729582,2.3027989566539504,4720449200,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0
760,2020-01-13,77.910004,79.26750200000002,77.787498,79.239998,121532000,68.71144986,55.94629996999992,69.0154981960096,58.42650958296322,75.23048976134166,72.43804714259913,2.792442618742541,2.3748419940156755,0.4176006247268656,15.322843807621553,41.63581513431783,2.072486331683271,4841981200,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0
761,2020-01-14,79.175003,79.39250200000002,78.042503,78.16999799999998,161954400,69.03104984,56.099712464999904,69.37449818832296,58.622962204028255,75.68272179805831,72.86263609499919,2.8200857030591346,2.4638907358243682,0.3561949672347673,13.238894933775788,39.34117407245096,1.8249013383691908,4680026800,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0
762,2020-01-15,77.962502,78.875,77.387497,77.834999,121923600,69.30864978,56.249837454999906,69.70628253387893,58.81412674926182,76.01384136758782,73.2309592731474,2.78288209444041,2.5276890075475764,0.2551930868928336,12.301998736181412,38.37373141258993,1.8096744609407152,4558103200,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0
763,2020-01-16,78.397499,78.925003,78.022499,78.809998,108829200,69.59734974,56.40136243999992,70.06329098353075,59.01309064230399,76.44401931103585,73.6442214010624,2.7997979099734347,2.5821107880327485,0.21768712194068665,13.23706763894943,39.730663570119425,1.9726497976185988,4666932400,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0
764,2020-01-17,79.067497,79.684998,78.75,79.682503,137816400,69.90534978,56.55558744499992,70.4405149841766,59.21875643690793,76.94224757087649,74.09150151950223,2.8507460513742298,2.6358378407010448,0.214908210673185,13.986273226254935,40.892362010192016,1.792473044256469,4804748800,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0
765,2020-01-21,79.297501,79.754997,79.0,79.14250200000002,110843200,70.20199986,56.70668744999993,70.78176937695399,59.41700266141631,77.28074825228009,74.46564970324282,2.8150985490372733,2.671689982368291,0.14340856666898238,12.735395227813394,39.56467139750042,1.8103896550918728,4693905600,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0
766,2020-01-22,79.644997,79.997498,79.327499,79.425003,101832400,70.49334995999997,56.85756246499993,71.12071971511266,59.61608724189973,77.61063359808315,74.83300920670631,2.7776243913768464,2.6928768641700023,0.08474752720684453,12.670206544401848,39.69118540544543,1.8139198299943164,4795738000,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0
